embedding_name,classifier,module_name,MCC,AUC_ROC
Doc2vec(PV-DBOW),CNN,debug,0.459392159,0.71305511
Doc2vec(PV-DBOW),CNN,fail,0.591149248,0.791343669
Doc2vec(PV-DBOW),LSTM,shell,0.957912262,0.979088769
Doc2vec(PV-DBOW),LSTM,command,0.918225028,0.957860847
Doc2vec(PV-DBOW),LSTM,set_fact,0.799998632,0.893210956
Doc2vec(PV-DBOW),LSTM,template,0.891761103,0.94522663
Doc2vec(PV-DBOW),LSTM,file,0.862755291,0.929808638
Doc2vec(PV-DBOW),LSTM,gather_facts,0.123206751,0.54363354
Doc2vec(PV-DBOW),LSTM,copy,0.915439613,0.954996186
Doc2vec(PV-DBOW),LSTM,service,0.832979906,0.916666667
Doc2vec(PV-DBOW),LSTM,debug,0.792059495,0.898593074
Doc2vec(PV-DBOW),LSTM,fail,0.583699524,0.788671374
Doc2vec(PV-DM),RF,shell,0.852,0.989
Doc2vec(PV-DM),RF,command,0.817,0.988
Doc2vec(PV-DM),RF,set_fact,0.784,0.989
Doc2vec(PV-DM),RF,template,0.784,0.982
Doc2vec(PV-DM),RF,file,0.823,0.989
Doc2vec(PV-DM),RF,gather_facts,0.903,0.996
Doc2vec(PV-DM),RF,copy,0.742,0.973
Doc2vec(PV-DM),RF,service,0.736,0.984
Doc2vec(PV-DM),RF,debug,0.855,0.997
Doc2vec(PV-DM),RF,fail,0.792,0.984
Doc2vec(PV-DM),SVM,shell,0.951,0.989
Doc2vec(PV-DM),SVM,command,0.95,0.993
Doc2vec(PV-DM),SVM,set_fact,0.857,0.986
Doc2vec(PV-DM),SVM,template,0.889,0.987
Doc2vec(PV-DM),SVM,file,0.931,0.991
Doc2vec(PV-DM),SVM,gather_facts,0.896,0.991
Doc2vec(PV-DM),SVM,copy,0.854,0.976
Doc2vec(PV-DM),SVM,service,0.851,0.981
Doc2vec(PV-DM),SVM,debug,0.94,0.991
Doc2vec(PV-DM),SVM,fail,0.792,0.988
Doc2vec(PV-DM),XGBoost,shell,0.864,0.931
Doc2vec(PV-DM),XGBoost,command,0.835,0.918
Doc2vec(PV-DM),XGBoost,set_fact,0.841,0.921
Doc2vec(PV-DM),XGBoost,template,0.821,0.911
Doc2vec(PV-DM),XGBoost,file,0.866,0.933
Doc2vec(PV-DM),XGBoost,gather_facts,0.881,0.94
Doc2vec(PV-DM),XGBoost,copy,0.794,0.897
Doc2vec(PV-DM),XGBoost,service,0.843,0.925
Doc2vec(PV-DM),XGBoost,debug,0.959,0.979
Doc2vec(PV-DM),XGBoost,fail,0.799,0.898
Doc2vec(PV-DM),MLP,shell,0.963,0.992
Doc2vec(PV-DM),MLP,command,0.95,0.99
Doc2vec(PV-DM),MLP,set_fact,0.936,0.988
Doc2vec(PV-DM),MLP,template,0.925,0.985
Doc2vec(PV-DM),MLP,file,0.94,0.989
Doc2vec(PV-DM),MLP,gather_facts,0.935,0.993
Doc2vec(PV-DM),MLP,copy,0.93,0.986
Doc2vec(PV-DM),MLP,service,0.93,0.993
Doc2vec(PV-DM),MLP,debug,0.98,1
Doc2vec(PV-DM),MLP,fail,0.962,0.997
Doc2vec(PV-DM),CNN,shell,0.69753208,0.846455603
Doc2vec(PV-DM),CNN,command,0.619432154,0.809153944
Doc2vec(PV-DM),CNN,set_fact,0.655821558,0.826603728
Doc2vec(PV-DM),CNN,template,0.754187492,0.87385785
Doc2vec(PV-DM),CNN,file,0.636625075,0.79532385
Doc2vec(PV-DM),CNN,gather_facts,0.02359607,0.50401979
Doc2vec(PV-DM),CNN,copy,0.670170518,0.832514487
Doc2vec(PV-DM),CNN,service,0.596730176,0.792330792
Doc2vec(PV-DM),CNN,debug,0.402594677,0.701382979
Doc2vec(PV-DM),CNN,fail,0.734486153,0.863928113
Doc2vec(PV-DM),LSTM,shell,0.630023176,0.795294118
Doc2vec(PV-DM),LSTM,command,0.647931675,0.823979812
Doc2vec(PV-DM),LSTM,set_fact,0.36151701,0.680412371
Doc2vec(PV-DM),LSTM,template,0.593989599,0.770762121
Doc2vec(PV-DM),LSTM,file,0.828438016,0.911141988
Doc2vec(PV-DM),LSTM,gather_facts,0.174963553,0.584375
Doc2vec(PV-DM),LSTM,copy,0.589383768,0.790554284
Doc2vec(PV-DM),LSTM,service,0.763892987,0.881578947
Doc2vec(PV-DM),LSTM,debug,0.783235895,0.890929416
Doc2vec(PV-DM),LSTM,fail,0.266592791,0.632911392
FastText(CBOW),RF,shell,0.835,0.978
FastText(CBOW),RF,command,0.817,0.969
FastText(CBOW),RF,set_fact,0.802,0.975
FastText(CBOW),RF,template,0.846,0.976
FastText(CBOW),RF,file,0.918,0.99
FastText(CBOW),RF,gather_facts,0.928,0.994
FastText(CBOW),RF,copy,0.877,0.98
FastText(CBOW),RF,service,0.86,0.992
FastText(CBOW),RF,debug,0.948,0.998
FastText(CBOW),RF,fail,0.887,0.991
FastText(CBOW),SVM,shell,0.93,0.988
FastText(CBOW),SVM,command,0.9,0.982
FastText(CBOW),SVM,set_fact,0.94,0.997
FastText(CBOW),SVM,template,0.946,0.988
FastText(CBOW),SVM,file,0.939,0.992
FastText(CBOW),SVM,gather_facts,0.948,0.992
FastText(CBOW),SVM,copy,0.936,0.991
FastText(CBOW),SVM,service,0.974,0.997
FastText(CBOW),SVM,debug,0.96,0.999
FastText(CBOW),SVM,fail,0.975,0.997
FastText(CBOW),XGBoost,shell,0.901,0.95
FastText(CBOW),XGBoost,command,0.853,0.926
FastText(CBOW),XGBoost,set_fact,0.858,0.929
FastText(CBOW),XGBoost,template,0.904,0.952
FastText(CBOW),XGBoost,file,0.961,0.981
FastText(CBOW),XGBoost,gather_facts,0.934,0.967
FastText(CBOW),XGBoost,copy,0.929,0.965
FastText(CBOW),XGBoost,service,0.893,0.948
FastText(CBOW),XGBoost,debug,0.938,0.969
FastText(CBOW),XGBoost,fail,0.911,0.956
FastText(CBOW),MLP,shell,0.901,0.978
FastText(CBOW),MLP,command,0.891,0.983
FastText(CBOW),MLP,set_fact,0.94,0.996
FastText(CBOW),MLP,template,0.946,0.99
FastText(CBOW),MLP,file,0.944,0.991
FastText(CBOW),MLP,gather_facts,0.923,0.98
FastText(CBOW),MLP,copy,0.948,0.988
FastText(CBOW),MLP,service,0.938,0.996
FastText(CBOW),MLP,debug,0.949,0.999
FastText(CBOW),MLP,fail,0.975,0.996
FastText(CBOW),CNN,shell,0.616040898,0.807587445
FastText(CBOW),CNN,command,0.013415234,0.506706749
FastText(CBOW),CNN,set_fact,0.782942592,0.886764706
FastText(CBOW),CNN,template,0.869647236,0.934899563
FastText(CBOW),CNN,file,0.745025427,0.870337108
FastText(CBOW),CNN,gather_facts,0.297307744,0.609022057
FastText(CBOW),CNN,copy,0.851464256,0.926988349
FastText(CBOW),CNN,service,0.703227912,0.847685185
FastText(CBOW),CNN,debug,0.488163459,0.739468085
FastText(CBOW),CNN,fail,0.626292552,0.811854005
FastText(CBOW),LSTM,shell,0.96,0.969896907
FastText(CBOW),LSTM,command,0.408632,0.704571
FastText(CBOW),LSTM,set_fact,0.352643,0.638554
FastText(CBOW),LSTM,template,0.887181,0.940141
FastText(CBOW),LSTM,file,0.94,0.954764398
FastText(CBOW),LSTM,gather_facts,0.85,0.808024691
FastText(CBOW),LSTM,copy,0.8329,0.916101
FastText(CBOW),LSTM,service,0.741489,0.861324
FastText(CBOW),LSTM,debug,0.597616,0.790426
FastText(CBOW),LSTM,fail,0.338624,0.652878
FastText(Skip-Gram),RF,shell,0.879,0.983
FastText(Skip-Gram),RF,command,0.81,0.971
FastText(Skip-Gram),RF,set_fact,0.912,0.989
FastText(Skip-Gram),RF,template,0.871,0.973
FastText(Skip-Gram),RF,file,0.865,0.984
FastText(Skip-Gram),RF,gather_facts,0.901,0.99
FastText(Skip-Gram),RF,copy,0.787,0.962
FastText(Skip-Gram),RF,service,0.92,0.993
FastText(Skip-Gram),RF,debug,0.959,0.997
FastText(Skip-Gram),RF,fail,0.887,0.989
FastText(Skip-Gram),SVM,shell,0.925,0.986
FastText(Skip-Gram),SVM,command,0.883,0.98
FastText(Skip-Gram),SVM,set_fact,0.932,0.994
FastText(Skip-Gram),SVM,template,0.904,0.986
FastText(Skip-Gram),SVM,file,0.944,0.988
FastText(Skip-Gram),SVM,gather_facts,0.903,0.962
FastText(Skip-Gram),SVM,copy,0.865,0.969
FastText(Skip-Gram),SVM,service,0.982,1
FastText(Skip-Gram),SVM,debug,0.94,0.999
FastText(Skip-Gram),SVM,fail,0.924,0.995
FastText(Skip-Gram),XGBoost,shell,0.911,0.955
FastText(Skip-Gram),XGBoost,command,0.844,0.921
FastText(Skip-Gram),XGBoost,set_fact,0.892,0.946
FastText(Skip-Gram),XGBoost,template,0.885,0.941
FastText(Skip-Gram),XGBoost,file,0.919,0.959
FastText(Skip-Gram),XGBoost,gather_facts,0.921,0.96
FastText(Skip-Gram),XGBoost,copy,0.852,0.926
FastText(Skip-Gram),XGBoost,service,0.947,0.972
FastText(Skip-Gram),XGBoost,debug,0.959,0.979
FastText(Skip-Gram),XGBoost,fail,0.848,0.924
FastText(Skip-Gram),MLP,shell,0.922,0.984
FastText(Skip-Gram),MLP,command,0.844,0.979
FastText(Skip-Gram),MLP,set_fact,0.904,0.991
FastText(Skip-Gram),MLP,template,0.9,0.981
FastText(Skip-Gram),MLP,file,0.944,0.988
FastText(Skip-Gram),MLP,gather_facts,0.896,0.979
FastText(Skip-Gram),MLP,copy,0.852,0.973
FastText(Skip-Gram),MLP,service,0.965,0.999
FastText(Skip-Gram),MLP,debug,0.94,0.999
FastText(Skip-Gram),MLP,fail,0.899,0.993
FastText(Skip-Gram),CNN,shell,0.477077645,0.737023072
FastText(Skip-Gram),CNN,command,0.365759316,0.679974613
FastText(Skip-Gram),CNN,set_fact,0.560387744,0.761506141
